sample_id,material_name,material_class_original,chemical_composition_original,architecture_descriptor,composition_type_std,primary_material_family,primary_material_group,secondary_material_family,secondary_material_group,tertiary_material_family,tertiary_material_group,composition_descriptor_std,n_detected_material_families,contains_synthetic_polymer,contains_inorganic,contains_carbonaceous,contains_polysaccharide,contains_protein,contains_fluoropolymer,contains_silica,contains_mof,contains_silver,contains_antimicrobial_additive,contains_support_substrate,is_commercial_reference,source,solid_content (g/100ml),skeletal_density (g/cm3),porosity (%),permeability (m2),bet_surface_area (m2/g),average_pore_size (nm),fiber_diameter (nm),filtration_efficiency (%),pressure_drop (mmH2O/cm),airflow_rate (cm/s),sample_thickness (mm),average_particle_size (nm),quality_factor (mmH2O^-1),bulk_density (g/cm3)
Pan filter 4,"PAN transparent filter (field, T=77%)",electrospun transparent nanofiber air filter,polyacrylonitrile (PAN),electrospun_nanofiber_membrane,synthetic_polymer,pan,synthetic_polymer,,,,,pan,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1038/ncomms7205,,,,,,,200,98.69,,21,,2500,,
PAN filter 5,"PAN transparent filter (field, T=54%)",electrospun transparent nanofiber air filter,polyacrylonitrile (PAN),electrospun_nanofiber_membrane,synthetic_polymer,pan,synthetic_polymer,,,,,pan,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1038/ncomms7205,,,,,,,200,99.42,,21,,2500,,
PAN filter 6,"PAN transparent filter (field, T=40%)",electrospun transparent nanofiber air filter,polyacrylonitrile (PAN),electrospun_nanofiber_membrane,synthetic_polymer,pan,synthetic_polymer,,,,,pan,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1038/ncomms7205,,,,,,,200,99.88,,21,,2500,,
PS filter 1,"PS transparent filter (field, T=71%)",electrospun transparent nanofiber air filter,polystyrene (PS),electrospun_nanofiber_membrane,synthetic_polymer,ps,synthetic_polymer,,,,,ps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1038/ncomms7205,,,,,,,200,76.61,,21,,2500,,
PS filter 2,"PS transparent filter (field, T=61%)",electrospun transparent nanofiber air filter,polystyrene (PS),electrospun_nanofiber_membrane,synthetic_polymer,ps,synthetic_polymer,,,,,ps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1038/ncomms7205,,,,,,,200,73.5,,21,,2500,,
PS filter 3,"PS transparent filter (field, T=41%)",electrospun transparent nanofiber air filter,polystyrene (PS),electrospun_nanofiber_membrane,synthetic_polymer,ps,synthetic_polymer,,,,,ps,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1038/ncomms7205,,,,,,,200,96.76,,21,,2500,,
Commercial 12,Commercial-1 (field test),commercial mask filter,polypropylene-based commercial mask,commercial_filter_media,synthetic_polymer,polypropylene,synthetic_polymer,,,,,polypropylene,1,1,0,0,0,0,0,0,0,0,0,0,1,https://doi.org/10.1038/ncomms7205,,,,,,,,70.4,,21,,2500,,
Commercial 22,Commercial-2 (field test),commercial mask filter,polypropylene-based commercial mask,commercial_filter_media,synthetic_polymer,polypropylene,synthetic_polymer,,,,,polypropylene,1,1,0,0,0,0,0,0,0,0,0,0,1,https://doi.org/10.1038/ncomms7205,,,,,,,,99.13,,21,,2500,,
CGAF,CGAF,charged graphene aerogel filter,graphene aerogel derived from graphene oxide; copper contact attached for applied field,monolithic_aerogel,carbonaceous,graphene,carbonaceous,,,,,graphene,1,0,0,1,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.cej.2020.125086,0.46,,,,13.15,,,99.5,,70,,2500,,
S20,PI NFA,polyimide nanofiber aerogel filter,polyimide nanofiber aerogel,fibrous_aerogel,synthetic_polymer,polyimide,synthetic_polymer,,,,,polyimide,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2022.121881,20,,,,401.1,,,82.5,,,,300,,
S21,ZIF-8/PI NFA (20 wt% ZIF-8),MOF-decorated polyimide nanofiber aerogel filter,polyimide nanofiber aerogel + 20 wt% ZIF-8 nanoparticles,fibrous_aerogel,hybrid,polyimide,synthetic_polymer,mof_zif8,inorganic_or_mineral,,,polyimide + mof_zif8,2,1,1,0,0,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2022.121881,20,,,,1112.4,7.4,,98.7,17.34,5.3,5,300,0.500900337,0.015
S22,ZIF-8/PI NFA (20 wt% ZIF-8),MOF-decorated polyimide nanofiber aerogel filter,polyimide nanofiber aerogel + 20 wt% ZIF-8 nanoparticles,fibrous_aerogel,hybrid,polyimide,synthetic_polymer,mof_zif8,inorganic_or_mineral,,,polyimide + mof_zif8,2,1,1,0,0,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2022.121881,20,,,,1112.4,7.4,,99.8,17.34,5.3,5,2500,0.716794475,0.015
S23,"ZIF-8/PI NFA (20 wt% ZIF-8, 300 °C)",high-temperature MOF-decorated polyimide nanofiber aerogel filter,polyimide nanofiber aerogel + 20 wt% ZIF-8 nanoparticles,fibrous_aerogel,hybrid,polyimide,synthetic_polymer,mof_zif8,inorganic_or_mineral,,,polyimide + mof_zif8,2,1,1,0,0,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2022.121881,20,,,,1112.4,7.4,,96.2,18.05,5.3,5,300,0.362345609,0.015
S24,"ZIF-8/PI NFA (20 wt% ZIF-8, 300 °C)",high-temperature MOF-decorated polyimide nanofiber aerogel filter,polyimide nanofiber aerogel + 20 wt% ZIF-8 nanoparticles,fibrous_aerogel,hybrid,polyimide,synthetic_polymer,mof_zif8,inorganic_or_mineral,,,polyimide + mof_zif8,2,1,1,0,0,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2022.121881,20,,,,1112.4,7.4,,99.5,18.05,5.3,5,2500,0.587071176,0.015
S25,PASS aerogel,nanofiber aerogel,poly(arylene sulfide sulfone) (PASS),fibrous_aerogel,synthetic_polymer,pass,synthetic_polymer,,,,,polyarylsulfide_sulfone,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.127573,30,,87.8,,80.4,2000,528,84.4,,250,,300,,0.0135
S26,O-PASS aerogel,oxidized nanofiber aerogel,oxidized PASS,fibrous_aerogel,synthetic_polymer,pass,synthetic_polymer,,,,,polyarylsulfide_sulfone,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.127573,30,,87.5,,80,,532,89.3,,250,,300,,0.014
S27,GPPASS aerogel,grooved/secondary-pore nanofiber aerogel,PASS/PVA-derived grooved PASS nanofibers; PVA sacrificial template removed,fibrous_aerogel,synthetic_polymer,pass,synthetic_polymer,pva,synthetic_polymer,,,polyarylsulfide_sulfone + pva,2,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.127573,25,,96.2,,178.2,1000,825,99.1,,250,,300,,0.0054
S28,O-GPPASS aerogel,oxidized grooved/secondary-pore nanofiber aerogel,oxidized GPPASS,fibrous_aerogel,synthetic_polymer,pass,synthetic_polymer,,,,,polyarylsulfide_sulfone,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.127573,25,,96.5,,180,,817,99.7,,250,,300,,0.0058
S29,O-GPPASS aerogel after 330 °C for 4 h,high-temperature-treated oxidized grooved nanofiber aerogel,oxidized GPPASS,fibrous_aerogel,synthetic_polymer,pass,synthetic_polymer,,,,,polyarylsulfide_sulfone,1,1,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.127573,25,,,,180,,817,99.6,,250,,300,,0.0058
S30,CNF aerogel,cellulose nanofibril aerogel,cellulose nanofibrils,fibrous_aerogel,bio_based,cellulose,polysaccharide_or_lignocellulosic,,,,,cellulose,1,0,0,0,1,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2025.133274,0.5,,,,7.543,2.6,,61.04,,5,3,2500,,0.00885
S31,CNF/MTMS aerogel,modified cellulose aerogel,cellulose nanofibrils + methyltrimethoxysilane,fibrous_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,silica,inorganic_or_mineral,,,cellulose + silica,2,0,1,0,1,0,0,1,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2025.133274,0.5,,,,10.962,15.568,,84.39,,5,3,2500,,0.01126
S32,CNF/MTMS/LNP aerogel,composite cellulose aerogel,cellulose nanofibrils + MTMS + lignin nanospheres,fibrous_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,silica,inorganic_or_mineral,lignin,polysaccharide_or_lignocellulosic,cellulose + silica + lignin,3,0,1,0,1,0,0,1,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2025.133274,0.5,,,,15.634,14.983,,99.06,,5,3,2500,,0.00952
S33,CNF/MTMS/LCM aerogel,antibacterial composite aerogel,cellulose nanofibrils + MTMS + lignin@citral microcapsules,fibrous_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,silica,inorganic_or_mineral,lignin,polysaccharide_or_lignocellulosic,cellulose + silica + lignin,3,0,1,0,1,0,0,1,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2025.133274,0.5,,,,25.464,10.557,,99.46,,5,3,2500,,0.01064
